date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:55:11	108/108	---M-Z	200	added ('OK')	text/plain	etag:%225-1783422737;gz%22	https://how-2.codes/robots.txt		(from )
19:55:11	73885/73885	---M-Z	200	added ('OK')	text/html	etag:%229315-1783812675;gz%22	https://how-2.codes/	C:/Users/TechnotesSRVR/Documents/GitHubSITES/how-2.codes/how2.codes/how2.codes/how-2.codes/index.html	(from )
19:55:12	11684/11684	---MC-	200	added ('OK')	text/css	date:Sun,%2012%20Jul%202026%2000:55:12%20GMT	http://fonts.googleapis.com/css?family=Josefin+Sans%3A300%2C400%2C500%2C600%2C700%7COpen+Sans%3A300%2C400%2C500%2C600%2C700%7CKalam%3A300%2C400%2C500%2C600%2C700%7CRokkitt%3A300%2C400%2C500%2C600%2C700%7CJost%3A300%2C400%2C500%2C600%2C700%7CPoppins%3A300%2C400%2C500%2C600%2C700%7CLato%3A300%2C400%2C500%2C600%2C700%7CNoto+Serif%3A300%2C400%2C500%2C600%2C700%7CRaleway%3A300%2C400%2C500%2C600%2C700%7CRoboto%3A300%2C400%2C500%2C600%2C700%7CRubik%3A300%2C400%2C500%2C600%2C700&display=swap&subset=latin,latin-ext	C:/Users/TechnotesSRVR/Documents/GitHubSITES/how-2.codes/how2.codes/how2.codes/fonts.googleapis.com/cssa31a.css	(from https://how-2.codes/)
19:55:12	5842/5842	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jul%202026%2000:55:11%20GMT	https://gmpg.org/xfn/11	C:/Users/TechnotesSRVR/Documents/GitHubSITES/how-2.codes/how2.codes/how2.codes/gmpg.org/xfn/11.html	(from https://how-2.codes/)
19:55:12	206519/206519	---M-Z	200	added ('OK')	text/css	etag:%22326b7-6a52cc66-30e686d8cc9e8c91;gz%22	https://how-2.codes/wp-content/themes/blogus/css/bootstrap.css?ver=7.0.1	C:/Users/TechnotesSRVR/Documents/GitHubSITES/how-2.codes/how2.codes/how2.codes/how-2.codes/wp-content/themes/blogus/css/bootstrapf0a0.css	(from https://how-2.codes/)
19:55:12	7254/7254	---M-Z	200	added ('OK')	text/css	etag:%221c56-69aa3b2e-e6a46324f21155fe;gz%22	https://how-2.codes/wp-content/themes/blogai/style.css?ver=7.0.1	C:/Users/TechnotesSRVR/Documents/GitHubSITES/how-2.codes/how2.codes/how2.codes/how-2.codes/wp-content/themes/blogai/stylef0a0.css	(from https://how-2.codes/)
19:55:12	148802/148802	---M-Z	200	added ('OK')	text/css	etag:%2224542-6a52cc66-e992c97501e54bd0;gz%22	https://how-2.codes/wp-content/themes/blogus/css/all.css?ver=7.0.1	C:/Users/TechnotesSRVR/Documents/GitHubSITES/how-2.codes/how2.codes/how2.codes/how-2.codes/wp-content/themes/blogus/css/allf0a0.css	(from https://how-2.codes/)
19:55:14	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Jul%202026%2000:55:13%20GMT	http://fonts.googleapis.com/	C:/Users/TechnotesSRVR/Documents/GitHubSITES/how-2.codes/how2.codes/how2.codes/fonts.googleapis.com/index.html	(from https://how-2.codes/)
19:55:14	706/706	---MCZ	200	added ('OK')	application/rss+xml	etag:%2276094c9af4aaaac6d03461768cc90e75%22	https://how-2.codes/comments/feed/	C:/Users/TechnotesSRVR/Documents/GitHubSITES/how-2.codes/how2.codes/how2.codes/how-2.codes/comments/feed/index.html	(from https://how-2.codes/)
19:55:14	6570/6570	---MCZ	200	added ('OK')	application/rss+xml	etag:%2276094c9af4aaaac6d03461768cc90e75%22	https://how-2.codes/feed/	C:/Users/TechnotesSRVR/Documents/GitHubSITES/how-2.codes/how2.codes/how2.codes/how-2.codes/feed/index.html	(from https://how-2.codes/)
19:55:14	977/977	---M-Z	200	added ('OK')	text/css	etag:%223d1-6a52cc66-40d68881801f5ec6;gz%22	https://how-2.codes/wp-content/themes/blogus/css/colors/dark.css?ver=7.0.1	C:/Users/TechnotesSRVR/Documents/GitHubSITES/how-2.codes/how2.codes/how2.codes/how-2.codes/wp-content/themes/blogus/css/colors/darkf0a0.css	(from https://how-2.codes/)
19:55:14	16625/16625	---M-Z	200	added ('OK')	text/css	etag:%2240f1-6a52cc66-ee675b8731b6f984;gz%22	https://how-2.codes/wp-content/themes/blogus/css/swiper-bundle.css?ver=7.0.1	C:/Users/TechnotesSRVR/Documents/GitHubSITES/how-2.codes/how2.codes/how2.codes/how-2.codes/wp-content/themes/blogus/css/swiper-bundlef0a0.css	(from https://how-2.codes/)
19:55:14	5568/5568	---M-Z	200	added ('OK')	text/css	etag:%2215c0-6a52cc66-56927027d4d1fb6;gz%22	https://how-2.codes/wp-content/themes/blogus/css/jquery.smartmenus.bootstrap.css?ver=7.0.1	C:/Users/TechnotesSRVR/Documents/GitHubSITES/how-2.codes/how2.codes/how2.codes/how-2.codes/wp-content/themes/blogus/css/jquery.smartmenus.bootstrapf0a0.css	(from https://how-2.codes/)
19:55:15	59839/59839	---M-Z	200	added ('OK')	text/css	etag:%22e9bf-6a52cc66-68a5e2dcb9a60a83;gz%22	https://how-2.codes/wp-content/themes/blogus/css/animate.css?ver=7.0.1	C:/Users/TechnotesSRVR/Documents/GitHubSITES/how-2.codes/how2.codes/how2.codes/how-2.codes/wp-content/themes/blogus/css/animatef0a0.css	(from https://how-2.codes/)
